"0,-3.0,0"
"131.759,95.920,0.700"
"132.325,95.920,0.700"
"134.080,97.675,0.700"
"134.080,97.109,0.700"
"132.891,95.920,0.700"
"133.456,95.920,0.700"
"134.080,96.544,0.700"
"134.080,96.096,0.700"
"134.080,95.978,0.700"
"134.022,95.920,0.700"
"134.400,95.600,0.900"
"134.400,114.400,0.900"
"115.600,114.400,0.900"
"115.600,95.600,0.900"
"134.200,95.600,0.900"
"134.400,95.600,0.900"
"134.800,95.200,0.900"
"134.800,114.800,0.900"
"115.200,114.800,0.900"
"115.200,95.200,0.900"
"134.600,95.200,0.900"
"134.800,95.200,0.900"
"134.800,97.200,0.900"
"134.080,112.891,0.900"
"132.891,114.080,0.900"
"130.062,114.080,0.900"
"134.080,110.062,0.900"
"134.080,107.234,0.900"
"127.234,114.080,0.900"
"124.405,114.080,0.900"
"134.080,104.405,0.900"
"134.080,101.577,0.900"
"121.577,114.080,0.900"
"118.748,114.080,0.900"
"134.080,98.748,0.900"
"134.080,95.920,0.900"
"115.920,114.080,0.900"
"115.920,111.252,0.900"
"131.252,95.920,0.900"
"128.423,95.920,0.900"
"115.920,108.423,0.900"
"115.920,105.595,0.900"
"125.595,95.920,0.900"
"122.766,95.920,0.900"
"115.920,102.766,0.900"
"115.920,99.938,0.900"
"119.938,95.920,0.900"
"117.109,95.920,0.900"
"116.061,96.968,0.900"
"115.920,97.109,0.900"
"115.600,95.600,1.100"
"134.400,95.600,1.100"
"134.400,114.400,1.100"
"115.600,114.400,1.100"
"115.600,95.800,1.100"
"115.600,95.600,1.100"
"115.200,95.200,1.100"
"134.800,95.200,1.100"
"134.800,114.800,1.100"
"115.200,114.800,1.100"
"115.200,95.400,1.100"
"115.200,95.200,1.100"
"117.200,95.200,1.100"
"132.891,95.920,1.100"
"134.080,97.109,1.100"
"134.080,99.938,1.100"
"130.062,95.920,1.100"
"127.234,95.920,1.100"
"134.080,102.766,1.100"
"134.080,105.595,1.100"
"124.405,95.920,1.100"
"121.577,95.920,1.100"
"134.080,108.423,1.100"
"134.080,111.252,1.100"
"118.748,95.920,1.100"
"115.920,95.920,1.100"
"134.080,114.080,1.100"
"131.252,114.080,1.100"
"115.920,98.748,1.100"
"115.920,101.577,1.100"
"128.423,114.080,1.100"
"125.595,114.080,1.100"
"115.920,104.405,1.100"
"115.920,107.234,1.100"
"122.766,114.080,1.100"
"119.938,114.080,1.100"
"115.920,110.062,1.100"
"115.920,112.891,1.100"
"116.968,113.939,1.100"
"117.109,114.080,1.100"
"115.600,114.400,1.300"
"115.600,95.600,1.300"
"134.400,95.600,1.300"
"134.400,114.400,1.300"
"115.800,114.400,1.300"
"115.600,114.400,1.300"
"115.200,114.800,1.300"
"115.200,95.200,1.300"
"134.800,95.200,1.300"
"134.800,114.800,1.300"
"115.400,114.800,1.300"
"115.200,114.800,1.300"
"115.200,112.800,1.300"
"115.920,97.109,1.300"
"117.109,95.920,1.300"
"119.938,95.920,1.300"
"115.920,99.938,1.300"
"115.920,102.766,1.300"
"122.766,95.920,1.300"
"125.595,95.920,1.300"
"115.920,105.595,1.300"
"115.920,108.423,1.300"
"128.423,95.920,1.300"
"131.252,95.920,1.300"
"115.920,111.252,1.300"
"115.920,114.080,1.300"
"134.080,95.920,1.300"
"134.080,98.748,1.300"
"118.748,114.080,1.300"
"121.577,114.080,1.300"
"134.080,101.577,1.300"
"134.080,104.405,1.300"
"124.405,114.080,1.300"
"127.234,114.080,1.300"
"134.080,107.234,1.300"
"134.080,110.062,1.300"
"130.062,114.080,1.300"
"132.891,114.080,1.300"
"133.939,113.032,1.300"
"134.080,112.891,1.300"
"134.400,114.400,1.500"
"115.600,114.400,1.500"
"115.600,95.600,1.500"
"134.400,95.600,1.500"
"134.400,114.200,1.500"
"134.400,114.400,1.500"
"134.800,114.800,1.500"
"115.200,114.800,1.500"
"115.200,95.200,1.500"
"134.800,95.200,1.500"
"134.800,114.600,1.500"
"134.800,114.800,1.500"
"132.800,114.800,1.500"
"117.109,114.080,1.500"
"115.920,112.891,1.500"
"115.920,110.062,1.500"
"119.938,114.080,1.500"
"122.766,114.080,1.500"
"115.920,107.234,1.500"
"115.920,104.405,1.500"
"125.595,114.080,1.500"
"128.423,114.080,1.500"
"115.920,101.577,1.500"
"115.920,98.748,1.500"
"131.252,114.080,1.500"
"134.080,114.080,1.500"
"115.920,95.920,1.500"
"118.748,95.920,1.500"
"134.080,111.252,1.500"
"134.080,108.423,1.500"
"121.577,95.920,1.500"
"124.405,95.920,1.500"
"134.080,105.595,1.500"
"134.080,102.766,1.500"
"127.234,95.920,1.500"
"130.062,95.920,1.500"
"134.080,99.938,1.500"
"134.080,97.109,1.500"
"133.032,96.061,1.500"
"132.891,95.920,1.500"
"134.400,95.600,1.700"
"134.400,114.400,1.700"
"115.600,114.400,1.700"
"115.600,95.600,1.700"
"134.200,95.600,1.700"
"134.400,95.600,1.700"
"134.800,95.200,1.700"
"134.800,114.800,1.700"
"115.200,114.800,1.700"
"115.200,95.200,1.700"
"134.600,95.200,1.700"
"134.800,95.200,1.700"
"134.800,97.200,1.700"
"134.080,112.891,1.700"
"132.891,114.080,1.700"
"130.062,114.080,1.700"
"134.080,110.062,1.700"
"134.080,107.234,1.700"
"127.234,114.080,1.700"
"124.405,114.080,1.700"
"134.080,104.405,1.700"
"134.080,101.577,1.700"
"121.577,114.080,1.700"
"118.748,114.080,1.700"
"134.080,98.748,1.700"
"134.080,95.920,1.700"
"115.920,114.080,1.700"
"115.920,111.252,1.700"
"131.252,95.920,1.700"
"128.423,95.920,1.700"
"115.920,108.423,1.700"
"115.920,105.595,1.700"
"125.595,95.920,1.700"
"122.766,95.920,1.700"
"115.920,102.766,1.700"
"115.920,99.938,1.700"
"119.938,95.920,1.700"
"117.109,95.920,1.700"
"116.061,96.968,1.700"
"115.920,97.109,1.700"
"115.600,95.600,1.900"
"134.400,95.600,1.900"
"134.400,114.400,1.900"
"115.600,114.400,1.900"
"115.600,95.800,1.900"
"115.600,95.600,1.900"
"115.200,95.200,1.900"
"134.800,95.200,1.900"
"134.800,114.800,1.900"
"115.200,114.800,1.900"
"115.200,95.400,1.900"
"115.200,95.200,1.900"
"117.200,95.200,1.900"
"132.891,95.920,1.900"
"134.080,97.109,1.900"
"134.080,99.938,1.900"
"130.062,95.920,1.900"
"127.234,95.920,1.900"
"134.080,102.766,1.900"
"134.080,105.595,1.900"
"124.405,95.920,1.900"
"121.577,95.920,1.900"
"134.080,108.423,1.900"
"134.080,111.252,1.900"
"118.748,95.920,1.900"
"115.920,95.920,1.900"
"134.080,114.080,1.900"
"131.252,114.080,1.900"
"115.920,98.748,1.900"
"115.920,101.577,1.900"
"128.423,114.080,1.900"
"125.595,114.080,1.900"
"115.920,104.405,1.900"
"115.920,107.234,1.900"
"122.766,114.080,1.900"
"119.938,114.080,1.900"
"115.920,110.062,1.900"
"115.920,112.891,1.900"
"116.968,113.939,1.900"
"117.109,114.080,1.900"
"115.600,114.400,2.100"
"115.600,95.600,2.100"
"134.400,95.600,2.100"
"134.400,114.400,2.100"
"115.800,114.400,2.100"
"115.600,114.400,2.100"
"115.200,114.800,2.100"
"115.200,95.200,2.100"
"134.800,95.200,2.100"
"134.800,114.800,2.100"
"115.400,114.800,2.100"
"115.200,114.800,2.100"
"115.200,112.800,2.100"
"115.920,97.109,2.100"
"117.109,95.920,2.100"
"119.938,95.920,2.100"
"115.920,99.938,2.100"
"115.920,102.766,2.100"
"122.766,95.920,2.100"
"125.595,95.920,2.100"
"115.920,105.595,2.100"
"115.920,108.423,2.100"
"128.423,95.920,2.100"
"131.252,95.920,2.100"
"115.920,111.252,2.100"
"115.920,114.080,2.100"
"134.080,95.920,2.100"
"134.080,98.748,2.100"
"118.748,114.080,2.100"
"121.577,114.080,2.100"
"134.080,101.577,2.100"
"134.080,104.405,2.100"
"124.405,114.080,2.100"
"127.234,114.080,2.100"
"134.080,107.234,2.100"
"134.080,110.062,2.100"
"130.062,114.080,2.100"
"132.891,114.080,2.100"
"133.939,113.032,2.100"
"134.080,112.891,2.100"
"134.400,114.400,2.300"
"115.600,114.400,2.300"
"115.600,95.600,2.300"
"134.400,95.600,2.300"
"134.400,114.200,2.300"
"134.400,114.400,2.300"
"134.800,114.800,2.300"
"115.200,114.800,2.300"
"115.200,95.200,2.300"
"134.800,95.200,2.300"
"134.800,114.600,2.300"
"134.800,114.800,2.300"
"132.800,114.800,2.300"
"117.109,114.080,2.300"
"115.920,112.891,2.300"
"115.920,110.062,2.300"
"119.938,114.080,2.300"
"122.766,114.080,2.300"
"115.920,107.234,2.300"
"115.920,104.405,2.300"
"125.595,114.080,2.300"
"128.423,114.080,2.300"
"115.920,101.577,2.300"
"115.920,98.748,2.300"
"131.252,114.080,2.300"
"134.080,114.080,2.300"
"115.920,95.920,2.300"
"118.748,95.920,2.300"
"134.080,111.252,2.300"
"134.080,108.423,2.300"
"121.577,95.920,2.300"
"124.405,95.920,2.300"
"134.080,105.595,2.300"
"134.080,102.766,2.300"
"127.234,95.920,2.300"
"130.062,95.920,2.300"
"134.080,99.938,2.300"
"134.080,97.109,2.300"
"133.032,96.061,2.300"
"132.891,95.920,2.300"
"134.400,95.600,2.500"
"134.400,114.400,2.500"
"115.600,114.400,2.500"
"115.600,95.600,2.500"
"134.200,95.600,2.500"
"134.400,95.600,2.500"
"134.800,95.200,2.500"
"134.800,114.800,2.500"
"115.200,114.800,2.500"
"115.200,95.200,2.500"
"134.600,95.200,2.500"
"134.800,95.200,2.500"
"134.800,97.200,2.500"
"134.080,112.891,2.500"
"132.891,114.080,2.500"
"130.062,114.080,2.500"
"134.080,110.062,2.500"
"134.080,107.234,2.500"
"127.234,114.080,2.500"
"124.405,114.080,2.500"
"134.080,104.405,2.500"
"134.080,101.577,2.500"
"121.577,114.080,2.500"
"118.748,114.080,2.500"
"134.080,98.748,2.500"
"134.080,95.920,2.500"
"115.920,114.080,2.500"
"115.920,111.252,2.500"
"131.252,95.920,2.500"
"128.423,95.920,2.500"
"115.920,108.423,2.500"
"115.920,105.595,2.500"
"125.595,95.920,2.500"
"122.766,95.920,2.500"
"115.920,102.766,2.500"
"115.920,99.938,2.500"
"119.938,95.920,2.500"
"117.109,95.920,2.500"
"116.061,96.968,2.500"
"115.920,97.109,2.500"
"115.600,95.600,2.700"
"134.400,95.600,2.700"
"134.400,114.400,2.700"
"115.600,114.400,2.700"
"115.600,95.800,2.700"
"115.600,95.600,2.700"
"115.200,95.200,2.700"
"134.800,95.200,2.700"
"134.800,114.800,2.700"
"115.200,114.800,2.700"
"115.200,95.400,2.700"
"115.200,95.200,2.700"
"117.200,95.200,2.700"
"132.891,95.920,2.700"
"134.080,97.109,2.700"
"134.080,99.938,2.700"
"130.062,95.920,2.700"
"127.234,95.920,2.700"
"134.080,102.766,2.700"
"134.080,105.595,2.700"
"124.405,95.920,2.700"
"121.577,95.920,2.700"
"134.080,108.423,2.700"
"134.080,111.252,2.700"
"118.748,95.920,2.700"
"115.920,95.920,2.700"
"134.080,114.080,2.700"
"131.252,114.080,2.700"
"115.920,98.748,2.700"
"115.920,101.577,2.700"
"128.423,114.080,2.700"
"125.595,114.080,2.700"
"115.920,104.405,2.700"
"115.920,107.234,2.700"
"122.766,114.080,2.700"
"119.938,114.080,2.700"
"115.920,110.062,2.700"
"115.920,112.891,2.700"
"116.968,113.939,2.700"
"117.109,114.080,2.700"
"115.600,114.400,2.900"
"115.600,95.600,2.900"
"134.400,95.600,2.900"
"134.400,114.400,2.900"
"115.800,114.400,2.900"
"115.600,114.400,2.900"
"115.200,114.800,2.900"
"115.200,95.200,2.900"
"134.800,95.200,2.900"
"134.800,114.800,2.900"
"115.400,114.800,2.900"
"115.200,114.800,2.900"
"115.200,112.800,2.900"
"115.920,97.109,2.900"
"117.109,95.920,2.900"
"119.938,95.920,2.900"
"115.920,99.938,2.900"
"115.920,102.766,2.900"
"122.766,95.920,2.900"
"125.595,95.920,2.900"
"115.920,105.595,2.900"
"115.920,108.423,2.900"
"128.423,95.920,2.900"
"131.252,95.920,2.900"
"115.920,111.252,2.900"
"115.920,114.080,2.900"
"134.080,95.920,2.900"
"134.080,98.748,2.900"
"118.748,114.080,2.900"
"121.577,114.080,2.900"
"134.080,101.577,2.900"
"134.080,104.405,2.900"
"124.405,114.080,2.900"
"127.234,114.080,2.900"
"134.080,107.234,2.900"
"134.080,110.062,2.900"
"130.062,114.080,2.900"
"132.891,114.080,2.900"
"133.939,113.032,2.900"
"134.080,112.891,2.900"
"134.400,114.400,3.100"
"115.600,114.400,3.100"
"115.600,95.600,3.100"
"134.400,95.600,3.100"
"134.400,114.200,3.100"
"134.400,114.400,3.100"
"134.800,114.800,3.100"
"115.200,114.800,3.100"
"115.200,95.200,3.100"
"134.800,95.200,3.100"
"134.800,114.600,3.100"
"134.800,114.800,3.100"
"132.800,114.800,3.100"
"117.109,114.080,3.100"
"115.920,112.891,3.100"
"115.920,110.062,3.100"
"119.938,114.080,3.100"
"122.766,114.080,3.100"
"115.920,107.234,3.100"
"115.920,104.405,3.100"
"125.595,114.080,3.100"
"128.423,114.080,3.100"
"115.920,101.577,3.100"
"115.920,98.748,3.100"
"131.252,114.080,3.100"
"134.080,114.080,3.100"
"115.920,95.920,3.100"
"118.748,95.920,3.100"
"134.080,111.252,3.100"
"134.080,108.423,3.100"
"121.577,95.920,3.100"
"124.405,95.920,3.100"
"134.080,105.595,3.100"
"134.080,102.766,3.100"
"127.234,95.920,3.100"
"130.062,95.920,3.100"
"134.080,99.938,3.100"
"134.080,97.109,3.100"
"133.032,96.061,3.100"
"132.891,95.920,3.100"
"134.400,95.600,3.300"
"134.400,114.400,3.300"
"115.600,114.400,3.300"
"115.600,95.600,3.300"
"134.200,95.600,3.300"
"134.400,95.600,3.300"
"134.800,95.200,3.300"
"134.800,114.800,3.300"
"115.200,114.800,3.300"
"115.200,95.200,3.300"
"134.600,95.200,3.300"
"134.800,95.200,3.300"
"134.800,97.200,3.300"
"134.080,112.891,3.300"
"132.891,114.080,3.300"
"130.062,114.080,3.300"
"134.080,110.062,3.300"
"134.080,107.234,3.300"
"127.234,114.080,3.300"
"124.405,114.080,3.300"
"134.080,104.405,3.300"
"134.080,101.577,3.300"
"121.577,114.080,3.300"
"118.748,114.080,3.300"
"134.080,98.748,3.300"
"134.080,95.920,3.300"
"115.920,114.080,3.300"
"115.920,111.252,3.300"
"131.252,95.920,3.300"
"128.423,95.920,3.300"
"115.920,108.423,3.300"
"115.920,105.595,3.300"
"125.595,95.920,3.300"
"122.766,95.920,3.300"
"115.920,102.766,3.300"
"115.920,99.938,3.300"
"119.938,95.920,3.300"
"117.109,95.920,3.300"
"116.061,96.968,3.300"
"115.920,97.109,3.300"
"115.600,95.600,3.500"
"134.400,95.600,3.500"
"134.400,114.400,3.500"
"115.600,114.400,3.500"
"115.600,95.800,3.500"
"115.600,95.600,3.500"
"115.200,95.200,3.500"
"134.800,95.200,3.500"
"134.800,114.800,3.500"
"115.200,114.800,3.500"
"115.200,95.400,3.500"
"115.200,95.200,3.500"
"117.200,95.200,3.500"
"132.891,95.920,3.500"
"134.080,97.109,3.500"
"134.080,99.938,3.500"
"130.062,95.920,3.500"
"127.234,95.920,3.500"
"134.080,102.766,3.500"
"134.080,105.595,3.500"
"124.405,95.920,3.500"
"121.577,95.920,3.500"
"134.080,108.423,3.500"
"134.080,111.252,3.500"
"118.748,95.920,3.500"
"115.920,95.920,3.500"
"134.080,114.080,3.500"
"131.252,114.080,3.500"
"115.920,98.748,3.500"
"115.920,101.577,3.500"
"128.423,114.080,3.500"
"125.595,114.080,3.500"
"115.920,104.405,3.500"
"115.920,107.234,3.500"
"122.766,114.080,3.500"
"119.938,114.080,3.500"
"115.920,110.062,3.500"
"115.920,112.891,3.500"
"116.968,113.939,3.500"
"117.109,114.080,3.500"
"115.600,114.400,3.700"
"115.600,95.600,3.700"
"134.400,95.600,3.700"
"134.400,114.400,3.700"
"115.800,114.400,3.700"
